produto,preco,empresa,origem,avaliacao,data,data_criacao,ultima_atualizacao
4 Saquinhos Reutilizáveis Sustentável Ecológico Legume Fruta,55,,,,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
Calcinha Absorvente Korui - 1 Unidade,89,,,4.5,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
600 Unid De Cotonete Madeira Algodão Sustentável Ecológico,139,,,5.0,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
Coletor Menstrual Korui - Amazônia,79,,,4.8,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
Camiseta Rage Against The Machine Evil Empire Malha Eco,78,,,,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
Cachaça Camponeses Orgânica E Artesanal 700ml - Carvalho,78,,,,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
10 Fraldinhas Boca Bebê 100% Algodão 33x33 Ctms + 1 Brinde ,53,,,4.5,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
Vela Sustentável E Vegana 100% Natural De Maracujá,39,,,4.0,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
Horta Vertical- Produto Sustentável,273,,,,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
Garrafa Squeeze Feita Tritan Certificada - Bpa Free,78,,,4.9,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
"Shampoo Sólido 100% Natural Murumuru, Amêndoa E Mandarina",37,Por Insitta,,4.5,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
Cápsula Nespresso Reutilizável Inox + Tamper,139,,,3.9,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
Kit Full Vidro - 3 Retos + 3 Curvos + Escova - Canudos,32,,,5.0,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
 Painel Jardim Vertical + Irrigação + Impermeabilizante,358,,,5.0,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
Cápsula Nespresso Reutilizável Inox,55,,,3.7,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
Camiseta Hüsker Dü Husker Du Hardcore Punk Emo Bob Mould,78,,,4.3,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
Cumbuca /tigela /bowl De Coco Natural ,29,,,4.6,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
Kit Talheres De Bambu - Reutilizáveis - Acompanha Ecobag,32,,,4.5,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
Módulo Jardim Vertical + Camada Impermeável + Kit Instalação,349,,,,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
Vela Aromática Perfumada Vegetal Spice Canela,37,,,4.4,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
Capa Pet Dobrável Impermeável Protetor Para Bancos De Carros,179,,,4.8,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
Caixinha De Som Amplificadora Para Celular Portátil Pinus,65,,,4.7,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
Kit Mochila Kraft + Térmica 500ml Br+ Canudos Inox 6-1 Roxo,254,,,,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
Garrafa Retrátil Silicone ,56,,,5.0,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
Mochila Papel Kraft Impermeável - Compartimento Laptop,199,,,,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
Kit 3 Comedouros Pássaros Livres. Garrafa Vinho Branca,227,,,4.4,2024-09-23,2024-09-23 11:52:41.379300,2024-09-23 11:52:41.379300
